artist,title
Barbra Streisand / Neil Diamond,You Don't Bring Me Flowers
Air Sup,All Out Of Love
Bee Gees,How Can You Mend A Broken Heart
Boston,Amanda
Toni Braxton,Un-Break My Heart
Lionel Richie,Hello
Rod Stewart,You're In My Heart (The Final Acclaim)
Air Supply,Lost In Love
Nat King Cole / Natalie Cole,Unforgettable
Bon Jovi,I'll Be There For You
The Beatles,Girl
Lisa Lisa & Cult ,All Cried Out
Goo Goo Dolls,Iris
Boston,More Than a Feeling
Paul McCartney & Wings,My Love
The Beatles,If I Fell
Captain & Tennille,Love Will Keep Us Together
INXS,Never Tear Us Apart
Lionel Richie,Stuck On You
Heart,Alone
Bonnie Raitt,I Can't Make You Love Me
John Lennon,Woman
Styx,Babe
Stevie Wonder,You Are The Sunshine Of My Life
Bryan Adams,Everything I Do (I Do It For You)
Shania Twain,You're Still The One
Joe Cocker,You Are So Beautiful
Willie Nelson,Always On My Mind
Celine Dion,Because You Loved Me
John Hiatt,Have A Little Faith In Me
John Lennon,Jealous Guy
Whitney Houston,I Will Always Love You
Elvis Presley,Love Me Tender
Celine Dion,My Heart Will Go On
Journey,Open Arms
Wings,Maybe I'm Amazed
The Righteous Brothers,Unchained Melody
Lionel Richie,Endless Love
Diana Ross,Endless Love
Elton John,Your Song
The Jackson 5,I'll Be There
Aerosmith,I Don't Want to Miss a Thing
Etta James,At Last
Bee Gees,How Deep Is Your Love
Sinead O'Connor,Nothing Compares 2 U
Olivia Newton-John,I Honestly Love You
Billy Joel,She's Got a Way
Frank Sinatra,Fly Me to the Moon
Faith Hill,Breathe
Peter Gabriel,In Your Eyes
Chicago,If You Leave Me Now
Sonny & Cher,I Got U Babe
John Travolta,You're the One That I Want
Olivia Newton-John,You're the One That I Want
Barbra Streisand,You Don't Bring Me Flowers
Neil Diamond,You Don't Bring Me Flowers
Natalie Cole,Unforgettable
Nat King Cole,Unforgettable
Eric Clapton,Wonderful Tonight
Joe Cocker,You Are So Beautiful
Styx,Babe
Rod Stewart,You're in My Heart (The Final Acclaim)
Marvin Gaye,Let's Get It On
Willie Nelson,Always on My Mind
Celine Dion,Because You Loved Me
Stevie Wonder,You Are the Sunshine of My Life
John Lennon,Woman
Bryan Adams,(Everything I Do) I Do It for You
REO Speedwagon,Keep on Loving You
Carpenters,Superstar
"Barry White,""You're the First, the Last, My Everything"""
No Doubt,Don't Speak
Madonna,Crazy for You
Bon Jovi,I'll Be There for You
Shania Twain,You're Still the One
Kiss,Beth
Meat Loaf,I'd Do Anything for Love [Single Edit]
Extreme,More Than Words
Bill Medley,(I've Had) the Time of My Life
Jennifer Warnes,(I've Had) the Time of My Life
Toni Braxton,Un-Break My Heart
Al Green,Let's Stay Together
Prince,I Would Die 4 U
Sade,By Your Side
Bonnie Raitt,I Can't Make You Love Me
Atlantic Starr,Always
Janet Jackson,That's the Way Love Goes
Def Leppard,Love Bites
Barry Manilow,Mandy
Alicia Keys,Fallin'
The Pretenders,I'll Stand by You
Roberta Flack,The First Time Ever I Saw Your Face
Foreigner,Waiting for a Girl Like You
The Emotions,Best of My Love
Journey,Faithfully
Commodores,Three Times a Lady
Heart,Alone
Mr. Big,To Be With You
LeAnn Rimes,How Do I Live
Modern English,I Melt With You
Christina Aguilera,Nobody Wants to Be Lonely
Ricky Martin,Nobody Wants to Be Lonely
Goo Goo Dolls,Iris
Bangles,Eternal Flame
Boston,More Than a Feeling
INXS,Never Tear Us Apart
The Partridge Family,I Think I Love You
Led Zeppelin,Whole Lotta Love
Captain and Tennille,Love Will Keep Us Together
Vanessa Williams,Save the Best for Last
Chaka Khan,I Feel for You
"Peter Frampton,""Baby, I Love Your Way"""
Donna Summer,Love to Love You Baby
Edwin McCain,I'll Be
Guns N' Roses,Sweet Child O' Mine
Kenny Rogers,Islands in the Stream
Dolly Parton,Islands in the Stream
Bonnie Tyler,Total Eclipse of the Heart
Chris Isaak,Wicked Game
Boyz II Men,I'll Make Love to You
Cyndi Lauper,Time After Time
Wham!,Careless Whisper
Bruce Springsteen,Secret Garden
Whitesnake,Is This Love
Dido,Thank You
Cheap Trick,I Want You to Want Me
Brian McKnight,Back at One
Elvis Costello,Alison
Air Supply,All Out of Love
Pat Benatar,We Belong
*NSYNC,This I Promise You
Roxette,It Must Have Been Love
Andy Gibb,I Just Want to Be Your Everything
Christopher Cross,Think of Laura
LL Cool J,I Need Love
Enrique Iglesias,Hero
Poison,Every Rose Has It's Thorn
